,TRIAL_ID,LATITUDE,LONGITUDE,LOCATION,Rank,NCT Number,Title,Acronym,Status,Study Results,Conditions,Interventions,Outcome Measures,Sponsor/Collaborators,Gender,Phases,Enrollment,Funded Bys,Study Type,Study Designs,Other IDs,Start Date,Primary Completion Date,Completion Date,First Posted,Results First Posted,Last Update Posted,Study Documents,URL,AGE_LOWER,AGE_UPPER
0,0,55.001251,-115.002136,"Department of Clinical Neurosciences, Heritage Medical Research Clinic, University of Calgary, Calgary, Alberta, Canada",1.0,NCT03981536,A Study to Evaluate AP-101 in Familial and Sporadic Amyotrophic Lateral Sclerosis (ALS),,Not yet recruiting,No Results Available,Amyotrophic Lateral Sclerosis,Drug: AP-101,"Number of Participants With One or More Non-Serious Adverse Events (AEs) or Any Serious AEs (SAEs)|Number of participants with abnormalities in vital signs, clinical laboratory assessments, physical or neurological examinations, or electrocardiograms (ECGs)|Maximum Observed Drug Concentration (Cmax)|Time of Maximum Drug Concentration (Tmax)|Area Under the Concentration Time Curve (AUC)|Pharmacokinetic Concentrations in Cerebrospinal Fluid (CSF)",AL-S Pharma,All,Phase 1,18.0,Industry,Interventional,Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science,AP101-01,September 2019,January 2020,January 2020,"June 11, 2019",,"July 31, 2019",,https://ClinicalTrials.gov/show/NCT03981536,18.0,100.0
1,0,55.001251,-115.002136,"Kaye Edmonton Clinic, University of Alberta, Edmonton, Alberta, Canada",1.0,NCT03981536,A Study to Evaluate AP-101 in Familial and Sporadic Amyotrophic Lateral Sclerosis (ALS),,Not yet recruiting,No Results Available,Amyotrophic Lateral Sclerosis,Drug: AP-101,"Number of Participants With One or More Non-Serious Adverse Events (AEs) or Any Serious AEs (SAEs)|Number of participants with abnormalities in vital signs, clinical laboratory assessments, physical or neurological examinations, or electrocardiograms (ECGs)|Maximum Observed Drug Concentration (Cmax)|Time of Maximum Drug Concentration (Tmax)|Area Under the Concentration Time Curve (AUC)|Pharmacokinetic Concentrations in Cerebrospinal Fluid (CSF)",AL-S Pharma,All,Phase 1,18.0,Industry,Interventional,Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science,AP101-01,September 2019,January 2020,January 2020,"June 11, 2019",,"July 31, 2019",,https://ClinicalTrials.gov/show/NCT03981536,18.0,100.0
2,0,50.000678,-86.000977,"London Health Sciences Centre, University Hospital, London, Ontario, Canada",1.0,NCT03981536,A Study to Evaluate AP-101 in Familial and Sporadic Amyotrophic Lateral Sclerosis (ALS),,Not yet recruiting,No Results Available,Amyotrophic Lateral Sclerosis,Drug: AP-101,"Number of Participants With One or More Non-Serious Adverse Events (AEs) or Any Serious AEs (SAEs)|Number of participants with abnormalities in vital signs, clinical laboratory assessments, physical or neurological examinations, or electrocardiograms (ECGs)|Maximum Observed Drug Concentration (Cmax)|Time of Maximum Drug Concentration (Tmax)|Area Under the Concentration Time Curve (AUC)|Pharmacokinetic Concentrations in Cerebrospinal Fluid (CSF)",AL-S Pharma,All,Phase 1,18.0,Industry,Interventional,Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science,AP101-01,September 2019,January 2020,January 2020,"June 11, 2019",,"July 31, 2019",,https://ClinicalTrials.gov/show/NCT03981536,18.0,100.0
3,0,50.000678,-86.000977,"Sunnybrook Health Sciences Centre, Toronto, Toronto, Ontario, Canada",1.0,NCT03981536,A Study to Evaluate AP-101 in Familial and Sporadic Amyotrophic Lateral Sclerosis (ALS),,Not yet recruiting,No Results Available,Amyotrophic Lateral Sclerosis,Drug: AP-101,"Number of Participants With One or More Non-Serious Adverse Events (AEs) or Any Serious AEs (SAEs)|Number of participants with abnormalities in vital signs, clinical laboratory assessments, physical or neurological examinations, or electrocardiograms (ECGs)|Maximum Observed Drug Concentration (Cmax)|Time of Maximum Drug Concentration (Tmax)|Area Under the Concentration Time Curve (AUC)|Pharmacokinetic Concentrations in Cerebrospinal Fluid (CSF)",AL-S Pharma,All,Phase 1,18.0,Industry,Interventional,Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science,AP101-01,September 2019,January 2020,January 2020,"June 11, 2019",,"July 31, 2019",,https://ClinicalTrials.gov/show/NCT03981536,18.0,100.0
4,0,52.4760892,-71.8258668,"Montreal Neurological Institute & Hospital, Montréal, Quebec, Canada",1.0,NCT03981536,A Study to Evaluate AP-101 in Familial and Sporadic Amyotrophic Lateral Sclerosis (ALS),,Not yet recruiting,No Results Available,Amyotrophic Lateral Sclerosis,Drug: AP-101,"Number of Participants With One or More Non-Serious Adverse Events (AEs) or Any Serious AEs (SAEs)|Number of participants with abnormalities in vital signs, clinical laboratory assessments, physical or neurological examinations, or electrocardiograms (ECGs)|Maximum Observed Drug Concentration (Cmax)|Time of Maximum Drug Concentration (Tmax)|Area Under the Concentration Time Curve (AUC)|Pharmacokinetic Concentrations in Cerebrospinal Fluid (CSF)",AL-S Pharma,All,Phase 1,18.0,Industry,Interventional,Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science,AP101-01,September 2019,January 2020,January 2020,"June 11, 2019",,"July 31, 2019",,https://ClinicalTrials.gov/show/NCT03981536,18.0,100.0
5,1,33.0000001,119.9999999,"Wujing People's Hospital, Changzhou, Jiangsu, China",2.0,NCT03103815,Trial of Amivita in Amyotrophic Lateral Sclerosis,,Unknown status,No Results Available,Amyotrophic Lateral Sclerosis,Drug: Amivita,ALS Functional Rating Scale-Revised (ALSFRS-R) score|Adverse event|Forced vital capacity (FVC)|EQ-5D,"Wujin People's Hospital|Nanjing Bioheng Biotech Co., Ltd.",All,Not Applicable,30.0,Other,Interventional,Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,WJ2017001,"April 24, 2017","October 20, 2018","October 20, 2018","April 6, 2017",,"April 26, 2017",,https://ClinicalTrials.gov/show/NCT03103815,18.0,70.0
6,2,41.2966556,-7.74678,"Centro Hospitalar Tras-os-Montes e Alto Douro, Vila Real, Portugal",3.0,NCT03073239,Amyotrophic Lateral Sclerosis: a New Paradigm,ALSParadigm,Completed,No Results Available,Amyotrophic Lateral Sclerosis,Genetic: ALS patients genetic characterization|Other: ALS patients epidemiological caracterization,Finding environmental risk factor|Regional prevalence|Finding a genetic marker,"Conde, Bebiana, M.D.",All,,30.0,Other,Observational,Observational Model: Cohort|Time Perspective: Prospective,2,December 2016,March 2018,June 2018,"March 8, 2017",,"July 23, 2018",,https://ClinicalTrials.gov/show/NCT03073239,18.0,100.0
7,3,33.8959203,35.47843,"American univeristy of Beirut medical center, Beirut, Lebanon",4.0,NCT03427086,Safety and Tolerability of High Dose Biotin in Patients With Amyotrophic Lateral Sclerosis,,Recruiting,No Results Available,Amyotrophic Lateral Sclerosis,Drug: Biotin|Drug: Placebo Oral Tablet,Incidence of Treatment-Emergent Adverse Events [Safety and Tolerability]|Motor disability measurement|Change in Pulmonary function test parameters ( FEV1- FVC)|Weight changes,American University of Beirut Medical Center,All,Phase 2,30.0,Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",BIO-2017-0270,"January 29, 2018","January 10, 2021","January 10, 2021","February 9, 2018",,"July 2, 2019",,https://ClinicalTrials.gov/show/NCT03427086,18.0,80.0
8,4,45.77958045,10.4258729694612,"AO Spedali Civili, Brescia, BS, Italy",5.0,NCT03293394,Rehabilitative Trial With tDCS in Amyotrophic Lateral Sclerosis,tDCS_MND,Completed,No Results Available,Amyotrophic Lateral Sclerosis,Device: Anodal bilateral motor cortex and cathodal spinal tDCS|Device: Sham bilateral motor cortex and sham spinal tDCS,Change in muscle strength from baseline|Change in short-interval intracortical inhibition-facilitation (SICI-ICF) from baseline|Decline in the ALSFRS-R score from baseline|Change of quality of life from baseline: ALSAQ-40 scale|Change of quality of life from baseline: EQ-5D-5L scale|Change of quality of life from baseline: EQ-VAS scale|Change in caregiver burden,Azienda Ospedaliera Spedali Civili di Brescia,All,Not Applicable,30.0,Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment",NP2743,"October 2, 2017","June 20, 2018","July 1, 2018","September 26, 2017",,"May 22, 2019",,https://ClinicalTrials.gov/show/NCT03293394,18.0,85.0
9,5,32.3293809,-83.1137366,"CDC, Atlanta, Georgia, United States",6.0,NCT01772602,The National Amyotrophic Lateral Sclerosis Registry,,Recruiting,No Results Available,Amyotrophic Lateral Sclerosis,,The National Amyotrophic Lateral Sclerosis (ALS) Registry|Risk factors of ALS,Centers for Disease Control and Prevention|US Department of Veterans Affairs|Centers for Medicare and Medicaid Services,All,,17000.0,U.S. Fed,Observational,Observational Model: Other|Time Perspective: Other,CDC-NCEH/ATSDR-5768,October 2010,December 2025,December 2025,"January 21, 2013",,"July 23, 2019",,https://ClinicalTrials.gov/show/NCT01772602,18.0,100.0
